会社,給与,収入,173336,2017/1/24 09:00:00
会社,給与,収入,173336,2017/2/24 09:00:00
会社,給与,収入,173336,2017/3/24 09:00:00
会社,給与,収入,175078,2017/4/24 09:00:00
会社,給与,収入,175078,2017/5/24 09:00:00
会社,給与,収入,174278,2017/6/24 09:00:00
会社,給与,収入,175378,2017/7/24 09:00:00
会社,給与,収入,258535,2017/8/24 09:00:00
会社,給与,収入,185378,2017/9/24 09:00:00
会社,給与,収入,175009,2017/10/24 09:00:00
会社,給与,収入,175009,2017/11/24 09:00:00
会社,給与,収入,274187,2017/12/24 09:00:00
未設定,食料消耗品,支出,22197,2017/1/1 09:00:00
未設定,食料消耗品,支出,25936,2017/2/1 09:00:00
未設定,食料消耗品,支出,24536,2017/3/1 09:00:00
未設定,食料消耗品,支出,24399,2017/4/1 09:00:00
未設定,食料消耗品,支出,24487,2017/5/1 09:00:00
未設定,食料消耗品,支出,26167,2017/6/1 09:00:00
未設定,食料消耗品,支出,27905,2017/7/1 09:00:00
未設定,食料消耗品,支出,2990収入,2017/8/1 09:00:00
未設定,食料消耗品,支出,25874,2017/9/1 09:00:00
未設定,食料消耗品,支出,31650,2017/10/1 09:00:00
未設定,食料消耗品,支出,27326,2017/11/1 09:00:00
未設定,食料消耗品,支出,28142,2017/12/1 09:00:00
未設定,外食,支出,939,2017/1/1 09:00:00
未設定,外食,支出,1550,2017/2/1 09:00:00
未設定,外食,支出,5680,2017/3/1 09:00:00
未設定,外食,支出,1885,2017/4/1 09:00:00
未設定,外食,支出,8260,2017/5/1 09:00:00
未設定,外食,支出,5170,2017/6/1 09:00:00
未設定,外食,支出,9560,2017/7/1 09:00:00
未設定,外食,支出,6522,2017/8/1 09:00:00
未設定,外食,支出,5525,2017/9/1 09:00:00
未設定,外食,支出,5850,2017/10/1 09:00:00
未設定,外食,支出,5039,2017/11/1 09:00:00
未設定,外食,支出,7830,2017/12/1 09:00:00
未設定,交際費,支出,939,2017/1/1 09:00:00
未設定,交際費,支出,1550,2017/2/1 09:00:00
未設定,交際費,支出,5680,2017/3/1 09:00:00
未設定,交際費,支出,1885,2017/4/1 09:00:00
未設定,交際費,支出,8260,2017/5/1 09:00:00
未設定,交際費,支出,5170,2017/6/1 09:00:00
未設定,交際費,支出,9560,2017/7/1 09:00:00
未設定,交際費,支出,6522,2017/8/1 09:00:00
未設定,交際費,支出,5525,2017/9/1 09:00:00
未設定,交際費,支出,5850,2017/10/1 09:00:00
未設定,交際費,支出,5039,2017/11/1 09:00:00
未設定,交際費,支出,7830,2017/12/1 09:00:00
未設定,書籍費,支出,3764,2017/1/1 09:00:00
未設定,書籍費,支出,2940,2017/2/1 09:00:00
未設定,書籍費,支出,1200,2017/5/1 09:00:00
未設定,書籍費,支出,10300,2017/7/1 09:00:00
未設定,書籍費,支出,4114,2017/8/1 09:00:00
未設定,書籍費,支出,5500,2017/9/1 09:00:00
未設定,書籍費,支出,4823,2017/11/1 09:00:00
未設定,書籍費,支出,1050,2017/12/1 09:00:00
未設定,娯楽その他,支出,7149,2017/1/1 09:00:00
未設定,娯楽その他,支出,3755,2017/2/1 09:00:00
未設定,娯楽その他,支出,9305,2017/3/1 09:00:00
未設定,娯楽その他,支出,4316,2017/4/1 09:00:00
未設定,娯楽その他,支出,5924,2017/5/1 09:00:00
未設定,娯楽その他,支出,1905,2017/6/1 09:00:00
未設定,娯楽その他,支出,12416,2017/7/1 09:00:00
未設定,娯楽その他,支出,8670,2017/8/1 09:00:00
未設定,娯楽その他,支出,6429,2017/9/1 09:00:00
未設定,娯楽その他,支出,3630,2017/10/1 09:00:00
未設定,娯楽その他,支出,5760,2017/11/1 09:00:00
未設定,娯楽その他,支出,13942,2017/12/1 09:00:00
未設定,アパート,支出,51520,2017/1/1 09:00:00
